Pathway	pVal	zScore	Genes	type
TGFB1 Signaling	20.8239087409443	3.833	AASS,ACSL3,ADGRA1,ADGRB1,ADI1,AKT3,AMD1,APP,ARC,ARHGDIA,ARL4A,ATF4,B2M,BAMBI,BAX,BMP7,BTG1,CALB2,CALM1 (includes others),CALR,CAMK2N1,CCDC85B,CCN1,CCND1,CDC42SE1,CDK2AP1,CDKN1A,CDKN1C,CDKN2C,CELF2,CHST11,CLU,CMTM5,CNN3,COL11A1,COL16A1,CORO1C,COTL1,CPXM1,CRMP1,CSPG4,CTSC,CTSD,DAB2,DLX2,DLX5,DOCK9,DPYSL2,DPYSL3,EGR1,EGR2,EGR3,ELMO1,FAM110B,FAM3C,FERMT1,FERMT2,FGF12,FGFR1,FHL1,FKBP2,FOS,FOSB,FSCN1,FTL,FZD3,GATM,GNG7,GRID2,GSE1,H1-10,HDAC2,HES1,HINT1,HMGA1,HNMT,HNRNPDL,HSP90B1,HSPA5,HTRA1,ID4,IER2,IGF2,IGFBP2,IL6ST,IRF1,IRS2,ITGAV,JAG1,JUN,JUNB,JUND,KDELR2,KDM5B,KDM6B,KLF3,KRT10,LTBP3,MAP1B,MAP3K1,MCL1,MIR100HG,MMP16,MYO10,NAMPT,NFE2L2,NT5E,OLFM2,PAK3,PBX1,PDGFRA,PDLIM5,PFN2,PGRMC1,PHGDH,PKM,PLAT,PLOD2,PLS3,PPP2R2A,PRDX4,PSAT1,RAB31,RAB6A,RACK1,RAMP2,RBFOX2,RBM3,RDH11,RGCC,RHOB,RHOC,RPN2,SAR1B,SERPINE2,SERTAD1,SKIL,SLC1A2,SLC3A2,SMAD3,SNRNP70,SOX2,SOX4,SOX9,SPARC,SPPL2A,SRSF2,SRSF3,SRSF5,SRSF6,ST3GAL6,STAT3,SUSD5,THY1,TIMP1,TIMP2,TIMP3,TJP1,TRIM9,TSC22D1,TSPAN7,TUBA1A,TUBB2A,TUBB3,TUBB4B,TXNIP,VCAN,XYLT1,ZEB1,ZFP36L2	Upstream
Developmental process of synapse	9.15989390554324	3.831	LRRN1,DCLK1,NRCAM,ERBB4,GPM6A,LRRTM3,EPHA3,CLSTN1,PIK3R1,IGSF21,PTN,TNR,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,ST8SIA2,NRXN2,HDAC2,ADGRB3,UCHL1,PDLIM5,ROBO1,APP,PPP1R9A,NFIA,CACNA1A,ADGRL3,NRXN1,CNTN1,ADGRB1,SLITRK2,GRID2,PDZRN3,SEZ6L2,LRRK2,DNM3	Functional
Cell movement of tumor cell lines	20.7055337738384	3.813	MIR100HG,ANXA6,PAK3,FOS,LRP1,ST8SIA2,FERMT2,CLCN3,MYO10,TXNIP,PCDH7,FNBP1L,HSP90B1,TNFRSF21,DPYSL2,NOVA1,CSPG5,ENAH,SPOCK2,CALR,CD47,APPL1,CLU,MAP3K1,OPCML,ZFAS1,CD24,ERBB3,BCL11A,SRSF3,CCN1,LGALS1,EPHA3,RHOC,BCAS1,CLIC1,COL9A3,NTRK3,RPL22L1,CDH13,PLOD2,TXN,FBXO7,PLAT,EGR1,TMBIM6,PPP2R2A,IGF2,PHLDA1,GSE1,HSPA9,SAPCD2,CMTM5,SEPTIN9,HES6,PFN2,FGFR1,NRCAM,TUBB3,SPRY2,LRP1B,STAT3,ACTN4,DOCK9,SOX2,MTDH,SEMA5A,RPL39,PDGFRA,MLLT11,KIF13A,AKAP7,PRNP,COL11A1,CCND1,RHOB,SOX9,DUSP6,VCP,MGLL,ASAP1,SEMA3E,RAB14,RARRES2,H2AX,NREP,PTN,DLX1,PURPL,SDC3,DDX17,HMGA1,FCHSD2,RBM3,PPIB,ARL4C,DLX6-AS1,NAMPT,TMSB10/TMSB4X,DCLK1,LINC00632,PKM,CRNDE,IFNAR1,JUND,GLTP,ST6GAL1,LRPAP1,CORO1C,GAS5,FABP7,TIMP2,NEU4,KANK1,PRRX1,ETV5,VCAN,EIF3H,PLEKHH2,HES1,EVL,TNK2,IDH2,JUN,NDRG2,MCL1,HNRNPU,SERPINE2,CRMP1,RBMX,CD82,MYADM,PCDH10,PDLIM2,SNHG8,LIMA1,MEX3A,TRIB2,NTRK2,ELMO1,NT5E,BMP7,UGDH,HDAC2,MAP4K4,UCHL1,RACK1,KLF6,RAB5A,ROBO1,IGFBP2,SEPTIN2,KDM1A,FAIM2,HNRNPA2B1,BTG1,PSAT1,ASIC1,TCAF1,ITGAV,HTRA1,STC1,GLUD1,MTSS1,ASCL1,SMAD3,FOSB,TRIM9,CD81,PTPRZ1,RAB31,GFRA1,ZEB1,RAP1GAP,APP,S100B,KHDRBS1,SOX10,ANKRD28,NR3C1,MAGI1,PGRMC1,EIF3F,SOX4,KDM5B,AKT3,AFDN,AP1S2,PIK3R1,NLGN1,GRIA2,TRIO,CDKN1A,BCAN,MPC1,TRAF4,MIF,FSCN1,KPNA2,CAMK2N1,FDFT1,AKT2,SPARC,STMN1,SHC3,FAM89B,CCNH,PBX1,HSPA5,TIMP3,DPYSL3,EGR2,MCAM,TIMP1,DAB2,KDM6B,NFE2L2	Functional
IGF1 Signaling	13.0772745420067	3.792	APP,BAX,CCN1,CCND1,CCNG1,CD70,CDKN1A,CLU,CNP,COBL,COL16A1,COL20A1,CTSD,DCLK1,DUSP6,EGR1,EGR2,FGFR1,FOS,FOSB,FOXG1,GADD45G,H2AX,HMGA1,HSPA5,HTRA1,IER2,IGF2,IGFBP2,IRS2,ITGAV,JUN,JUNB,KCNQ2,KLF6,LAMP1,MAFG,MBP,MCL1,MIF,MMP16,NFE2L2,NKX2-2,NR3C1,NTRK2,PDGFRA,PDLIM2,PHLDA1,PKM,PLOD2,PLP1,PRNP,RPS6,S100B,SIRT2,SOX2,SPARC,SRSF3,THY1,TJP1,TUBB3,TXNIP,ZCCHC24,ZFP36L1,ZFP36L2	Upstream
Processing of Capped Intron-Containing Pre-mRNA	6.13	3.77171134256227	DDX39A,FIP1L1,HNRNPA1,HNRNPA2B1,HNRNPF,HNRNPL,HNRNPU,LUC7L3,NUP42,PCF11,PNN,PRPF4B,RBM25,RBM39,RBM5,RBMX,SF1,SNRNP70,SNRPD2,SNRPE,SRRM2,SRSF1,SRSF10,SRSF2,SRSF3,SRSF5,SRSF6,SRSF7,SYMPK,TRA2B,UBL5	Canonical
Cancer	48.9913998282381	3.76	SCN3A,NTSR1,ERBB4,METRN,RPS24,ANXA6,SAR1B,RPS5,PAK3,DDX39A,PPA1,LUZP2,RSRC2,FNBP1L,SLC1A2,CEP170,CALR,FOXG1,DPP7,SLF2,MAP3K1,BAX,ERBB3,C3orf70,TAF1D,CCN1,SYT1,DNAJC1,RAB6A,SELENOM,COL9A3,RPL22L1,RPS3A,CELF4,RNF157,OLFM1,CDH13,PLEKHB1,SPCS2,RDH11,NASP,TXN,SRSF5,NAXE,SET,KLF3,RAB3A,HSPA9,SAPCD2,SHTN1,CHDH,ACSL3,TUBB2B,PTPRE,SAMD4A,REEP3,SPRED1,BORCS7,CERS4,STAT3,EEA1,SH3BGRL3,SPATA6,SRSF10,DOCK9,ASTN1,SEMA5A,SLC44A1,CCDC85B,PPP1R9A,EIF4G2,KIF13A,DNAJC3,NKAIN3,CCND1,UBB,TMEM59L,SP9,NAV1,UBA52,PLPPR1,NREP,GRIA3,IGFBPL1,COL20A1,RBM5,PNPLA8,USP24,EHD4,TANC1,FAM3C,DDX17,HMGA1,FCHSD2,CBX1,SRSF7,PPIB,OPHN1,ARL4C,ARC,PTPRD,SOX11,NAMPT,CHCHD10,SEZ6L2,DRAXIN,DCLK1,SBDS,IFNAR1,STARD7,PCF11,NAP1L1,PEG10,OLIG2,NAV2,FABP7,TIMP2,MIR7-3HG,KANK1,BRD7,CTSC,HES1,COL9A2,NDRG2,CD82,INA,QDPR,CDH10,MEX3A,IL1RAP,NRXN2,HDAC2,SRRM2,UCHL1,IGFBP2,CHST11,LTBP3,KDM1A,RPL24,HEPACAM,CCDC47,PSAT1,SCAF11,ASIC1,RPL13A,CASK,AASS,GNG7,STC1,DUSP26,XKR4,ASCL1,MRPS28,EMC10,ATG101,TUBB4B,KHDRBS1,DCX,MAGI1,LNX1,EIF3F,ARL4A,MMP16,MYO3A,IER2,AFDN,HNRNPF,PIK3R1,TMEM123,BCAN,MPC1,NLGN3,PGM3,TRAF4,SRSF2,ACAA1,AKT2,SON,SHC3,NPAS3,VAPA,TSPYL1,KCNJ10,BAALC,TCEAL1,DLX5,SATB1,MAT2A,HNMT,LUC7L3,UXT,COX17,FKBP2,LRP1,WDR1,RPL14,HNRNPDL,ELOB,FERMT2,KCNMA1,HSP90B1,TNFRSF21,DPYSL2,TAOK3,CSPG5,SPOCK2,RNF13,BCLAF1,SSPN,ATCAY,SRSF3,EPN2,NLGN4X,EPHA3,ASRGL1,GPR155,RBBP7,RHOC,THY1,CRABP1,POLR1D,BCAS1,CXXC4,LRATD1,RBM25,RPL5,DENND2B,ID4,RPL38,TMEM9B,ARHGDIA,NTRK3,CDK6,RAB10,SLC6A1,SRSF1,PLOD2,MFF,BCL11B,TM9SF3,FBXO7,PTMS,FARP2,PHLDA1,TSPAN3,GSE1,RCOR2,GTPBP6,PRPF4B,RPS28,PFN2,DNM3,PSD3,ATF7IP,ING3,CD320,SPRY2,EEF1A2,RBFOX2,PRKACB,LRP1B,CRISPLD1,ACTN4,CNN3,CTSD,SOX2,TET1,COX4I1,PDGFRA,DDAH2,MLLT11,COL9A1,PRKX,BLM,AKAP7,RPL7,PRNP,RHOB,CSPG4,PDIA3,DUSP6,SREK1,VCP,TCEAL2,NEDD4L,GRB14,RPS27,GPM6A,SF1,TIMP4,RPL35A,ZC3H6,CLPTM1,H2AX,BEX2,ZNF385D,SNX1,ARF5,OLFM2,PAFAH1B3,DENND5A,RPL18A,ITM2A,DYNC1I2,IRS2,TUBB,PPP1R12A,TRAPPC1,SERTAD1,DDAH1,MT3,SHISA4,SPPL2A,ANKS1B,KIF21A,CCNG1,PSMA7,KCND2,KLC1,KIFC3,RPS11,PHACTR3,GRIA4,LRPAP1,OMG,WSCD1,RPL19,SKIL,NTM,MYT1,RPLP2,AHI1,GAL3ST1,GALNT10,GPC2,EVL,IDH2,AIG1,JUNB,JUN,GOLGA8A/GOLGA8B,CALM1 (includes others),STMN4,PDE4B,RPS20,SLC3A2,COX7A2,HEPN1,LIMA1,BTG3,SLC1A3,ELMO1,COBL,MBP,RACK1,KLF6,ANKRD36C,KAZN,RALYL,RPS14,TM4SF1,WSB1,CNTN1,PLPPR3,PDZRN3,FAIM2,TIAL1,RAMP1,NDUFAF8,OLIG1,TCAF1,RPL32,CHD1,RPL37A,DNER,IGSF21,TAC3,MTSS1,MAP1B,PCDH15,TRIM9,ASXL1,CD81,GUCY1A2,DNAJB1,RAB31,CDC42SE1,LHFPL3,RAP1GAP,S100B,ANK3,GPAA1,APBB2,TTC3,CREB5,TTC9B,STK32B,SOX4,P4HB,KDM5B,SNX3,LINGO1,AFF4,PHGDH,AKT3,LRRTM3,ASAH1,SELENOK,ZFYVE16,SNRNP70,HYI,DLGAP4,PHF6,XRCC5,TRIO,PDE6D,ARL6IP1,CC2D1A,GPR17,FSCN1,GADD45G,HIP1R,FDFT1,SIRT2,ARX,FAM89B,CSDE1,CCDC50,ATF4,DLX6,HSPA5,SLC2A13,SCN2A,GAD2,EGR2,SLC22A17,COTL1,TRA2B,SMARCA4,HNRNPL,RPL26,ENC1,ARGLU1,RPL8,ADI1,ARL2BP,ST8SIA2,ATP5F1E,TXNIP,DIO3,EPC1,GPM6B,PABPC1,NOVA1,CD70,ENAH,SMAP2,SFPQ,OPCML,CD24,UQCRB,ARFGAP2,INSM1,SULF2,TMEM161B-DT,TSPAN7,PEA15,SPRY4,MRPS26,GPSM2,SLC18B1,ARMCX3,PHPT1,SPECC1,PCDH17,C7orf50,TMEM100,CEND1,DBI,PLAT,EGR1,CACNA1A,NRXN1,BBLN,CELF2,TMEM59,RPL7A,C12orf57,RPL23,SLC35F1,SNX22,TMED10,CPM,NSG1,SYT11,RPL27A,RPS29,RPL39,RPS7,DGCR2,RPLP0,ITM2C,COL11A1,RPL36,NENF,RPL27,RPS15,CSNK1A1,SPCS3,MT2A,ARMCX6,RAB14,RARRES2,CSMD3,TRIM47,PTN,C1QL1,INPP1,RPS15A,RPL37,MAFG,PURPL,SDC3,PLLP,SYNPR,SOX6,AMD1,BAMBI,SNRPE,RBM3,PTCHD4,ADGRL3,TMSB10/TMSB4X,NARF,ETV1,PKM,NCAM2,CRNDE,PODXL2,JUND,GLTP,ST6GAL1,PID1,RPL29,LAGE3,ACAP3,SGCB,CPXM1,PGM1,RSRP1,ADGRB3,APOD,SOX5,CORO1C,GAS5,VWA1,NEU4,PRRX1,OAT,CHL1,ETV5,ARPP21,VCAN,RPS27A,RPL15,TNK2,RBX1,RPS27L,PLS3,HNRNPU,FNDC4,RBMX,LDLRAD4,MYADM,TEAD2,SDF4,SNHG8,TP53I11,RPS21,MIR124-1HG,BMP7,UGDH,RPN2,BRD3,RAB5A,S100A13,BCHE,AFAP1L2,CLK1,PDZD2,KDELR2,ZCCHC24,TSC22D1,MDGA2,SH3GLB1,PPM1K,RPS4X,OLA1,RPL10,LAPTM4A,NACA,BTG1,ITGAV,CLSTN1,CHADL,PCDH9,BASP1,ELAVL4,TEK,SMAD3,ANP32B,ZFP36L1,CDKN1C,RGCC,KCNIP1,FOSB,AGAP1,RND3,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,RPL35,RBP1,CPEB4,RPL22,ZEB1,APP,FAM107B,MAGEH1,MAFF,STMN2,ABHD2,KRTCAP2,PRDX4,UBL5,FHL1,SCRG1,AP1S2,C1orf21,XYLT1,SCD5,KLRC2,JMJD1C,JAG1,ETFB,CAMK2N1,RRBP1,SERPINB6,SPARC,IL6ST,CCNH,PLP1,TIMP3,RPL36A,MCAM,TIMP1,DDT,HERPUD1,TSC22D4,LRRN1,IRF1,SOX8,MAP4K5,HSPA13,THYN1,ADGRA1,SP8,SCGN,FOS,RPS13,TUBA1A,EIF3E,PCSK7,CLCN3,MYO10,ZBED1,RPS18,PCDH7,CDKN2C,RPAIN,ITGB8,KLHDC8A,MIAT,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,ZFAS1,BCL11A,VSTM2B,TMEM106B,LGALS1,KHDRBS3,CLIC1,DLX2,CMC2,DNPH1,GRM5,TOX3,ZNF649,RPS25,NCALD,TMBIM6,PPP2R2A,IGF2,LAMP1,CMTM5,OS9,SEPTIN9,HES6,ITM2B,PLPP3,FGFR1,SEL1L3,DMPK,NRCAM,BEX4,TUBB3,ZNF397,BEX5,GPC6,DTNA,ASIC4,SBK1,CLVS2,MLEC,CXCL16,APMAP,ZFAND6,MTDH,B3GAT2,NKX2-2,RASSF2,CCNI,FGF12,RPL11,PCDH19,PLPPR5,RPS16,RBM39,NAA38,SOX9,PPP1R15A,DPP10,CHPT1,MGLL,ASAP1,SEMA3E,TMEM87A,ZFP36L2,RPL12,KCNQ2,KRT10,RTRAF,GOLM1,RPL31,DLX1,PON2,RIN2,PRTFDC1,NKAIN4,ANXA5,SAT1,SSBP3,RAMP2,GPR37L1,DLX6-AS1,CPE,SYMPK,DSEL,FTL,LINC00632,PDIA6,MRPL42,PNN,CNP,CFAP20,NFIC,RPS19,ARL4D,PRPF38B,RBIS,NUCB1,BRINP3,FERMT1,NXPH1,VMP1,EMP2,SUSD5,LRRC4C,TMEM256,PDLIM5,RTN1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,RPS12,GRID2,EIF3H,PLEKHH2,C2orf80,CACNG4,ST3GAL6,ABHD14A,RAB33A,MCL1,SERPINE2,CRMP1,GATM,NTNG1,CKB,RPL6,TUBB2A,PCDH10,DSCAM,PDLIM2,CNRIP1,CALCRL,FZD3,TRIB2,NTRK2,RPL4,MLF2,LAMA4,NT5E,MAP4K4,NICOL1,HM13,ROBO1,CHRM3,B2M,PANTR1,RPS2,CREBRF,HADHB,P2RX7,SNRPD2,CHID1,PXDC1,ADGRB1,CA10,NNAT,SLITRK2,HES4,TM7SF2,NEFM,RPL34,FNIP1,LYPD1,HNRNPA2B1,ATP6AP2,PAXX,TRA2A,FIP1L1,KAT2B,NME3,HINT1,DCXR,PLD3,HTRA1,MAP2,TNR,GLUD1,FAU,GDAP1L1,ATP6V0E1,DDOST,CCNL1,FIBIN,PTPRZ1,RPS6,DBN1,ASB3/GPR75-ASB3,EIF3L,ATP2A2,IFITM10,CTTNBP2,SOX10,SCN1A,ANKRD28,NR3C1,MPZL1,GNG12,RNASEH2C,ABHD12,MRPS21,PGRMC1,LRRK2,SLC32A1,YWHAQ,TJP1,TMEM132B,CDK2AP1,RPL9,NLGN1,GNG3,CARHSP1,COX6B1,GRIA2,SNHG5,CDKN1A,PSAP,CANX,RPS8,UGT8,TMSB15A,CCDC112,BSCL2,MIF,PNKD,TMED9,NONO,DEGS1,NPDC1,SCG3,KPNA2,JPT1,RPL21,RPL13,SRP14,ATP2B1,EEF1B2,STMN1,RPS3,TAGLN3,CCT8,DYNLT1,PBX1,EGR3,COPA,ATP5MG,SYNE1,PEX10,DPYSL3,RPS23,FGF14,DAB2,KDM6B,NFE2L2	Functional
SMAD3 Signaling	3.91364016932525	3.737	ATF4,BSCL2,CCND1,CDKN1A,EGR1,FDFT1,FOS,HSP90B1,HSPA5,JAG1,JUN,JUNB,JUND,LAMA4,RHOB,RPS6,RPS8,SERPINE2,SKIL,SMAD3,SOX2,SPARC,STAT3,TIMP1,TIMP2,TIMP3,TIMP4,VCAN	Upstream
EGF Signaling	10.5543957967264	3.725	ARC,ATP2A2,BAX,CALB2,CCN1,CCND1,CD47,CDKN1A,CLCN3,CLU,COL9A2,CSPG4,CTSD,DIO3,DUSP6,EGR1,EGR2,EGR3,ENAH,ERBB3,FABP7,FAM89B,FGFR1,FOS,FOSB,GAL3ST1,HES1,IER2,IGF2,IGFBP2,ITGB8,JUN,JUNB,JUND,KCNMA1,KDM6B,MCL1,MT3,NFE2L2,NT5E,OLIG2,PHLDA1,PIK3R1,PLAT,PLPP3,PPIB,RAB5A,RHOB,SLC1A2,SMAD3,SOX2,SOX4,SOX9,SPARC,SPRY2,SPRY4,STAT3,TIMP1,TIMP2,TIMP3,TJP1,TUBB3,TXNIP,VCAN,YWHAQ,ZEB1,ZFP36L2	Upstream
Assembly of cell-cell contacts	10.1402614338029	3.704	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,FSCN1,NRXN2,HDAC2,UCHL1,RACK1,ROBO1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Assembly of cell junction	10.0209070993617	3.704	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,VMP1,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,PRNP,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,FSCN1,NRXN2,HDAC2,UCHL1,ROBO1,OPHN1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Formation of cellular membrane	9.42596873227228	3.704	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,ANK3,PRNP,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,NRXN2,HDAC2,UCHL1,ROBO1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Formation of plasma membrane	9.36552272983927	3.704	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,PRNP,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,NRXN2,HDAC2,UCHL1,ROBO1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Formation of intercellular junctions	8.93930215964639	3.704	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,PRNP,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,FSCN1,NRXN2,HDAC2,UCHL1,ROBO1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Transcription of DNA	8.71896663275227	3.677	IRF1,DLX5,SATB1,ETV1,ERBB4,SOX8,SMARCA4,HNRNPL,IFNAR1,FOS,NFIC,JUND,UXT,PID1,SKIL,TXNIP,ZBED1,OLIG2,MYT1,EPC1,SOX5,AHI1,NFIA,PRRX1,CALR,FOXG1,BRD7,ETV5,MAP3K1,BCLAF1,SFPQ,HES1,BCL11A,JUNB,JUN,CCN1,MYDGF,INSM1,HNRNPU,RBBP7,RBMX,TEAD2,RPL6,DLX2,ID4,ARMCX3,CDK6,GRM5,TOX3,BMP7,CDH13,HDAC2,BCL11B,KLF6,TXN,BRD3,SET,EGR1,AFAP1L2,CREBRF,KLF3,RPS14,IGF2,RCOR2,KDM1A,TSC22D1,TIAL1,FNIP1,HES6,HNRNPA2B1,OLIG1,RPL10,NACA,KAT2B,FGFR1,CASK,HINT1,ATF7IP,BASP1,RPL23,DUSP26,RBFOX2,STAT3,ASCL1,SMAD3,CDKN1C,RGCC,FOSB,ACTN4,ASXL1,SOX2,MTDH,NKX2-2,CD81,BRD2,TLE5,TET1,DNAJB1,PFDN5,ZEB1,APP,CCDC85B,MLLT11,MAFF,KHDRBS1,BLM,SOX10,APBB2,CREB5,NR3C1,CCND1,SOX9,SOX4,KDM5B,PCBD1,IER2,YWHAQ,PIK3R1,CDK2AP1,PHF6,XRCC5,MAFG,RTRAF,CC2D1A,DLX1,NONO,JMJD1C,DDX17,HMGA1,SOX6,BAMBI,CBX1,KPNA2,PPP1R12A,JAG1,SERTAD1,SSBP3,SIRT2,ARX,AKT2,MT3,TAGLN3,ATF4,CCNH,PBX1,EGR3,SOX11,NAMPT,NPAS3,EGR2,DAB2,KDM6B,NFE2L2	Functional
Cell movement	28.3565473235138	3.659	SATB1,ERBB4,SOX8,MIR100HG,ANXA6,SMARCA4,HNRNPL,PAK3,FOS,TUBA1A,ADI1,EIF3E,LRP1,ST8SIA2,FERMT2,CLCN3,KCNMA1,MYO10,TXNIP,PCDH7,CDKN2C,FNBP1L,HSP90B1,TNFRSF21,SLC1A2,ITGB8,DPYSL2,MIAT,NOVA1,CSPG5,ENAH,SPOCK2,CALR,FOXG1,CD47,APPL1,CLU,MAP3K1,OPCML,ZFAS1,BAX,CD24,ERBB3,BCL11A,SRSF3,CCN1,INSM1,LGALS1,MARCHF1,EPHA3,RHOC,THY1,BCAS1,CLIC1,SPRY4,LRATD1,DLX2,COL9A3,ARHGDIA,NTRK3,RPL22L1,CDK6,CDH13,SRSF1,PLOD2,BCL11B,TXN,FBXO7,PLAT,EGR1,TMBIM6,PPP2R2A,IGF2,PHLDA1,TSPAN3,GSE1,HSPA9,SAPCD2,CMTM5,TUBB2B,SEPTIN9,HES6,PFN2,PLPP3,FGFR1,NRCAM,BEX4,TUBB3,SPRY2,EEF1A2,RBFOX2,LRP1B,STAT3,CXCL16,ACTN4,CNN3,DOCK9,SOX2,MTDH,ASTN1,SEMA5A,RPL39,PDGFRA,MLLT11,KIF13A,PRKX,BLM,AKAP7,PRNP,COL11A1,CCND1,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,VCP,NEDD4L,MGLL,NAV1,ASAP1,SEMA3E,GPM6A,SF1,RAB14,TIMP4,RARRES2,H2AX,NREP,PTN,GRIA3,KRT10,DLX1,PURPL,SDC3,PON2,RIN2,DDX17,HMGA1,FCHSD2,AMD1,IRS2,TUBB,TRAPPC1,RBM3,PPIB,OPHN1,ADGRL3,RAMP2,ARL4C,MT3,DLX6-AS1,PTPRD,SOX11,NAMPT,TMSB10/TMSB4X,DCLK1,ETV1,LINC00632,PKM,CNP,CRNDE,SBDS,IFNAR1,PODXL2,NFIC,RPS19,JUND,GLTP,BRINP3,ST6GAL1,FERMT1,LRPAP1,ACAP3,SKIL,APOD,CORO1C,GAS5,FABP7,NFIA,TIMP2,NEU4,KANK1,PRRX1,GAL3ST1,BRD7,CHL1,ETV5,VCAN,CTSC,EIF3H,PLEKHH2,HES1,EVL,TNK2,IDH2,JUNB,JUN,ST3GAL6,NDRG2,MCL1,HNRNPU,SERPINE2,CRMP1,RBMX,PDE4B,CD82,LDLRAD4,MYADM,SLC3A2,PCDH10,PDLIM2,SNHG8,CALCRL,LIMA1,MEX3A,IL1RAP,SLC1A3,TRIB2,NTRK2,ELMO1,LAMA4,NT5E,BMP7,UGDH,HDAC2,MAP4K4,MBP,UCHL1,RACK1,KLF6,RAB5A,ROBO1,CHRM3,IGFBP2,SEPTIN2,TM4SF1,P2RX7,LTBP3,KDM1A,CNTN1,ADGRB1,MDGA2,FAIM2,RAMP1,HNRNPA2B1,ATP6AP2,NACA,BTG1,PSAT1,ASIC1,TCAF1,RPL13A,ITGAV,HTRA1,STC1,TEK,MAP2,TNR,GLUD1,MTSS1,ASCL1,SMAD3,MAP1B,RGCC,PCDH15,FOSB,TRIM9,DDOST,RND3,CD81,PTPRZ1,RAB31,GFRA1,DBN1,RBP1,ZEB1,RAP1GAP,APP,EMC10,ATP2A2,S100B,KHDRBS1,SOX10,APBB2,ANKRD28,NR3C1,DCX,GNG12,MAGI1,PGRMC1,LRRK2,EIF3F,SOX4,ABHD2,P4HB,KDM5B,IER2,AKT3,AFDN,TJP1,FHL1,SELENOK,AP1S2,PIK3R1,NLGN1,DLGAP4,PHF6,GRIA2,TRIO,CDKN1A,BCAN,CANX,MPC1,TRAF4,MIF,FSCN1,KPNA2,JAG1,CAMK2N1,RRBP1,FDFT1,ARX,AKT2,SPARC,IL6ST,STMN1,SHC3,FAM89B,CSDE1,CCNH,PBX1,EGR3,HSPA5,PLP1,TIMP3,DPYSL3,EGR2,MCAM,TIMP1,DAB2,DDT,KDM6B,NFE2L2	Functional
